Stationscode;Datum;"Feinstaub (PM₁₀) Tagesmittel (stündlich gleitend) in µg/m³";"Ozon (O₃) Ein-Stunden-Mittelwert in µg/m³";"Stickstoffdioxid (NO₂) Ein-Stunden-Mittelwert in µg/m³";"Feinstaub (PM₂,₅) Tagesmittel (stündlich gleitend) in µg/m³";Luftqualitätsindex
DENW200;"'27.09.2023 01:00'";13;-;16;6;"sehr gut"
DENW200;"'27.09.2023 02:00'";13;-;13;6;"sehr gut"
DENW200;"'27.09.2023 03:00'";13;-;13;6;"sehr gut"
DENW200;"'27.09.2023 04:00'";13;-;15;6;"sehr gut"
DENW200;"'27.09.2023 05:00'";13;-;18;6;"sehr gut"
DENW200;"'27.09.2023 06:00'";13;-;36;6;gut
DENW200;"'27.09.2023 07:00'";13;-;43;7;mäßig
DENW200;"'27.09.2023 08:00'";13;-;51;7;mäßig
DENW200;"'27.09.2023 09:00'";13;-;50;7;mäßig
DENW200;"'27.09.2023 10:00'";13;-;47;7;mäßig
DENW200;"'27.09.2023 11:00'";14;-;45;7;mäßig
DENW200;"'27.09.2023 12:00'";14;-;45;7;mäßig
DENW200;"'27.09.2023 13:00'";14;-;41;7;mäßig
DENW200;"'27.09.2023 14:00'";14;-;34;7;gut
DENW200;"'27.09.2023 15:00'";14;-;33;7;gut
DENW200;"'27.09.2023 16:00'";14;-;29;7;gut
DENW200;"'27.09.2023 17:00'";15;-;58;7;mäßig
DENW200;"'27.09.2023 18:00'";15;-;55;7;mäßig
DENW200;"'27.09.2023 19:00'";15;-;50;8;mäßig
DENW200;"'27.09.2023 20:00'";16;-;43;8;mäßig
DENW200;"'27.09.2023 21:00'";16;-;26;8;gut
DENW200;"'27.09.2023 22:00'";16;-;13;8;"sehr gut"
DENW200;"'27.09.2023 23:00'";16;-;5;8;"sehr gut"
DENW200;"'27.09.2023 24:00'";16;-;3;8;"sehr gut"
DENW200;"'28.09.2023 01:00'";16;-;1;8;"sehr gut"
DENW200;"'28.09.2023 02:00'";16;-;0.2;8;"sehr gut"
DENW200;"'28.09.2023 03:00'";16;-;-;8;"sehr gut"
DENW200;"'28.09.2023 04:00'";16;-;-;8;"sehr gut"
DENW200;"'28.09.2023 05:00'";16;-;0.5;8;"sehr gut"
DENW200;"'28.09.2023 06:00'";16;-;4;8;"sehr gut"
DENW200;"'28.09.2023 07:00'";15;-;4;8;"sehr gut"
DENW200;"'28.09.2023 08:00'";15;-;17;8;"sehr gut"
DENW200;"'28.09.2023 09:00'";15;-;23;8;gut
DENW200;"'28.09.2023 10:00'";14;-;22;7;gut
DENW200;"'28.09.2023 11:00'";14;-;26;7;gut
DENW200;"'28.09.2023 12:00'";14;-;17;7;"sehr gut"
DENW200;"'28.09.2023 13:00'";14;-;24;7;gut
DENW200;"'28.09.2023 14:00'";14;-;18;7;"sehr gut"
DENW200;"'28.09.2023 15:00'";14;-;15;8;"sehr gut"
DENW200;"'28.09.2023 16:00'";15;-;19;8;"sehr gut"
DENW200;"'28.09.2023 17:00'";15;-;32;8;gut
DENW200;"'28.09.2023 18:00'";15;-;33;8;gut
DENW200;"'28.09.2023 19:00'";15;-;46;8;mäßig
DENW200;"'28.09.2023 20:00'";15;-;35;9;gut
DENW200;"'28.09.2023 21:00'";15;-;26;9;gut
DENW200;"'28.09.2023 22:00'";15;-;18;9;"sehr gut"
DENW200;"'28.09.2023 23:00'";15;-;16;9;"sehr gut"
DENW200;"'28.09.2023 24:00'";16;-;15;9;"sehr gut"
DENW200;"'29.09.2023 01:00'";16;-;17;9;"sehr gut"
DENW200;"'29.09.2023 02:00'";16;-;11;9;"sehr gut"
DENW200;"'29.09.2023 03:00'";16;-;8;10;"sehr gut"
DENW200;"'29.09.2023 04:00'";16;-;8;10;"sehr gut"
DENW200;"'29.09.2023 05:00'";17;-;8;10;"sehr gut"
DENW200;"'29.09.2023 06:00'";17;-;10;10;"sehr gut"
DENW200;"'29.09.2023 07:00'";16;-;12;10;"sehr gut"
DENW200;"'29.09.2023 08:00'";17;-;19;10;"sehr gut"
DENW200;"'29.09.2023 09:00'";16;-;22;10;gut
DENW200;"'29.09.2023 10:00'";16;-;20;10;"sehr gut"
DENW200;"'29.09.2023 11:00'";16;-;15;10;"sehr gut"
DENW200;"'29.09.2023 12:00'";16;-;16;10;"sehr gut"
DENW200;"'29.09.2023 13:00'";15;-;18;9;"sehr gut"
DENW200;"'29.09.2023 14:00'";15;-;16;9;"sehr gut"
DENW200;"'29.09.2023 15:00'";15;-;22;9;gut
DENW200;"'29.09.2023 16:00'";15;-;18;9;"sehr gut"
DENW200;"'29.09.2023 17:00'";15;-;21;9;gut
DENW200;"'29.09.2023 18:00'";15;-;18;9;"sehr gut"
DENW200;"'29.09.2023 19:00'";14;-;20;8;"sehr gut"
DENW200;"'29.09.2023 20:00'";13;-;15;8;"sehr gut"
DENW200;"'29.09.2023 21:00'";13;-;23;7;gut
DENW200;"'29.09.2023 22:00'";12;-;20;7;"sehr gut"
DENW200;"'29.09.2023 23:00'";12;-;14;7;"sehr gut"
DENW200;"'29.09.2023 24:00'";12;-;10;7;"sehr gut"
DENW200;"'30.09.2023 01:00'";12;-;8;7;"sehr gut"
DENW200;"'30.09.2023 02:00'";12;-;3;7;"sehr gut"
DENW200;"'30.09.2023 03:00'";12;-;4;6;"sehr gut"
DENW200;"'30.09.2023 04:00'";12;-;5;6;"sehr gut"
DENW200;"'30.09.2023 05:00'";12;-;5;6;"sehr gut"
DENW200;"'30.09.2023 06:00'";12;-;7;6;"sehr gut"
DENW200;"'30.09.2023 07:00'";12;-;8;6;"sehr gut"
DENW200;"'30.09.2023 08:00'";12;-;7;6;"sehr gut"
DENW200;"'30.09.2023 09:00'";12;-;9;6;"sehr gut"
DENW200;"'30.09.2023 10:00'";12;-;15;7;"sehr gut"
DENW200;"'30.09.2023 11:00'";12;-;19;7;"sehr gut"
DENW200;"'30.09.2023 12:00'";13;-;16;7;"sehr gut"
DENW200;"'30.09.2023 13:00'";13;-;12;7;"sehr gut"
DENW200;"'30.09.2023 14:00'";13;-;19;7;"sehr gut"
DENW200;"'30.09.2023 15:00'";13;-;15;8;"sehr gut"
DENW200;"'30.09.2023 16:00'";12;-;10;7;"sehr gut"
DENW200;"'30.09.2023 17:00'";12;-;14;7;"sehr gut"
DENW200;"'30.09.2023 18:00'";12;-;21;7;gut
DENW200;"'30.09.2023 19:00'";12;-;27;7;gut
DENW200;"'30.09.2023 20:00'";12;-;16;8;"sehr gut"
DENW200;"'30.09.2023 21:00'";12;-;12;8;"sehr gut"
DENW200;"'30.09.2023 22:00'";13;-;17;8;"sehr gut"
DENW200;"'30.09.2023 23:00'";13;-;17;8;"sehr gut"
DENW200;"'30.09.2023 24:00'";13;-;14;8;"sehr gut"
DENW200;"'01.10.2023 01:00'";13;-;12;8;"sehr gut"
DENW200;"'01.10.2023 02:00'";13;-;-;8;"sehr gut"
DENW200;"'01.10.2023 03:00'";13;-;7;8;"sehr gut"
DENW200;"'01.10.2023 04:00'";13;-;5;8;"sehr gut"
DENW200;"'01.10.2023 05:00'";12;-;6;8;"sehr gut"
DENW200;"'01.10.2023 06:00'";12;-;7;8;"sehr gut"
DENW200;"'01.10.2023 07:00'";12;-;8;8;"sehr gut"
DENW200;"'01.10.2023 08:00'";12;-;6;8;"sehr gut"
DENW200;"'01.10.2023 09:00'";12;-;9;8;"sehr gut"
DENW200;"'01.10.2023 10:00'";12;-;10;8;"sehr gut"
DENW200;"'01.10.2023 11:00'";11;-;9;8;"sehr gut"
DENW200;"'01.10.2023 12:00'";11;-;10;7;"sehr gut"
DENW200;"'01.10.2023 13:00'";11;-;12;7;"sehr gut"
DENW200;"'01.10.2023 14:00'";11;-;11;7;"sehr gut"
DENW200;"'01.10.2023 15:00'";11;-;10;8;"sehr gut"
DENW200;"'01.10.2023 16:00'";11;-;9;8;"sehr gut"
DENW200;"'01.10.2023 17:00'";11;-;8;8;"sehr gut"
DENW200;"'01.10.2023 18:00'";11;-;12;8;"sehr gut"
DENW200;"'01.10.2023 19:00'";12;-;15;8;"sehr gut"
DENW200;"'01.10.2023 20:00'";12;-;17;8;"sehr gut"
DENW200;"'01.10.2023 21:00'";12;-;22;9;gut
DENW200;"'01.10.2023 22:00'";12;-;23;9;gut
DENW200;"'01.10.2023 23:00'";12;-;9;9;"sehr gut"
DENW200;"'01.10.2023 24:00'";12;-;7;9;"sehr gut"
DENW200;"'02.10.2023 01:00'";12;-;4;9;"sehr gut"
DENW200;"'02.10.2023 02:00'";12;-;3;9;"sehr gut"
DENW200;"'02.10.2023 03:00'";12;-;-;9;"sehr gut"
DENW200;"'02.10.2023 04:00'";13;-;3;9;"sehr gut"
DENW200;"'02.10.2023 05:00'";13;-;5;10;"sehr gut"
DENW200;"'02.10.2023 06:00'";13;-;8;10;"sehr gut"
DENW200;"'02.10.2023 07:00'";13;-;6;10;"sehr gut"
DENW200;"'02.10.2023 08:00'";13;-;7;10;"sehr gut"
DENW200;"'02.10.2023 09:00'";13;-;11;10;"sehr gut"
DENW200;"'02.10.2023 10:00'";14;-;9;10;"sehr gut"
DENW200;"'02.10.2023 11:00'";14;-;11;11;gut
DENW200;"'02.10.2023 12:00'";14;-;11;11;gut
DENW200;"'02.10.2023 13:00'";14;-;11;11;gut
DENW200;"'02.10.2023 14:00'";14;-;12;11;gut
DENW200;"'02.10.2023 15:00'";14;-;13;11;gut
DENW200;"'02.10.2023 16:00'";15;-;35;11;gut
DENW200;"'02.10.2023 17:00'";15;-;31;11;gut
DENW200;"'02.10.2023 18:00'";15;-;34;11;gut
DENW200;"'02.10.2023 19:00'";15;-;37;11;gut
DENW200;"'02.10.2023 20:00'";16;-;30;11;gut
DENW200;"'02.10.2023 21:00'";16;-;19;11;gut
DENW200;"'02.10.2023 22:00'";16;-;15;11;gut
DENW200;"'02.10.2023 23:00'";16;-;32;11;gut
DENW200;"'02.10.2023 24:00'";17;-;20;11;gut
DENW200;"'03.10.2023 01:00'";17;-;15;11;gut
DENW200;"'03.10.2023 02:00'";17;-;8;11;gut
DENW200;"'03.10.2023 03:00'";17;-;4;11;gut
DENW200;"'03.10.2023 04:00'";17;-;-;12;gut
DENW200;"'03.10.2023 05:00'";18;-;6;12;gut
DENW200;"'03.10.2023 06:00'";18;-;6;12;gut
DENW200;"'03.10.2023 07:00'";18;-;4;12;gut
DENW200;"'03.10.2023 08:00'";18;-;4;12;gut
DENW200;"'03.10.2023 09:00'";19;-;6;12;gut
DENW200;"'03.10.2023 10:00'";19;-;9;13;gut
DENW200;"'03.10.2023 11:00'";19;-;10;13;gut
DENW200;"'03.10.2023 12:00'";19;-;9;13;gut
DENW200;"'03.10.2023 13:00'";19;-;11;12;gut
DENW200;"'03.10.2023 14:00'";19;-;9;12;gut
DENW200;"'03.10.2023 15:00'";18;-;10;12;gut
DENW200;"'03.10.2023 16:00'";18;-;13;11;gut
DENW200;"'03.10.2023 17:00'";17;-;13;11;gut
DENW200;"'03.10.2023 18:00'";16;-;13;11;gut
DENW200;"'03.10.2023 19:00'";16;-;21;10;gut
DENW200;"'03.10.2023 20:00'";15;-;16;10;"sehr gut"
DENW200;"'03.10.2023 21:00'";14;-;10;9;"sehr gut"
DENW200;"'03.10.2023 22:00'";14;-;11;9;"sehr gut"
DENW200;"'03.10.2023 23:00'";13;-;12;9;"sehr gut"
DENW200;"'03.10.2023 24:00'";13;-;14;9;"sehr gut"
DENW200;"'04.10.2023 01:00'";13;-;12;8;"sehr gut"
DENW200;"'04.10.2023 02:00'";12;-;12;8;"sehr gut"
DENW200;"'04.10.2023 03:00'";12;-;13;8;"sehr gut"
DENW200;"'04.10.2023 04:00'";11;-;13;7;"sehr gut"
DENW200;"'04.10.2023 05:00'";11;-;-;7;"sehr gut"
DENW200;"'04.10.2023 06:00'";11;-;15;7;"sehr gut"
DENW200;"'04.10.2023 07:00'";10;-;17;6;"sehr gut"
DENW200;"'04.10.2023 08:00'";10;-;25;6;gut
DENW200;"'04.10.2023 09:00'";10;-;21;6;gut
DENW200;"'04.10.2023 10:00'";10;-;20;5;"sehr gut"
DENW200;"'04.10.2023 11:00'";9;-;16;5;"sehr gut"
DENW200;"'04.10.2023 12:00'";9;-;14;5;"sehr gut"
DENW200;"'04.10.2023 13:00'";10;-;13;5;"sehr gut"
DENW200;"'04.10.2023 14:00'";10;-;14;5;"sehr gut"
DENW200;"'04.10.2023 15:00'";10;-;12;6;"sehr gut"
DENW200;"'04.10.2023 16:00'";10;-;12;6;"sehr gut"
DENW200;"'04.10.2023 17:00'";11;-;14;6;"sehr gut"
DENW200;"'04.10.2023 18:00'";11;-;18;6;"sehr gut"
DENW200;"'04.10.2023 19:00'";11;-;24;7;gut
